Complexity,Loss,Equation
1,0.04599786,"-4.835455"
3,0.045009717,"-3.5276318 - x0"
4,0.044213317,"-3.7083325 - sqrt(x0)"
5,0.044194736,"-4.022389 - (x0 * 0.5171364)"
6,0.044191193,"-4.022389 - (x0 * exp(-0.6903183))"
7,0.04419092,"-4.0139194 - sqrt(square(x0 * 0.5019579))"
8,0.04333295,"((x0 * -0.28553823) + -3.4587777) - exp(x5)"
12,0.04285377,"-3.3153777 - (exp(x5 * 2.4497955) + ((x0 * 1.4103346) - x0))"
14,0.042344134,"-3.3153777 - ((exp((x4 + x5) * 2.4497955) + (x0 * 1.4103346)) - x0)"
20,0.04205953,"-3.3077934 - (((exp(((x0 - ((x5 * 6.213443) + -1.2275208)) * x5) * 2.4798756) + x0) * 1.3132535) - x0)"
